Cliente,Año,Activos_Iniciales_millones,Ingresos_Netos_millones,Gastos_Operativos_millones,Margen_Financiero_Neto_millones,Fondos_Disponibles_millones,Depositos_Corto_Plazo_millones,Prestamos_Totales_millones,Prestamos_Morosos_millones,Activos_Finales_millones,Patrimonio_millones,Captaciones_Iniciales_millones,Captaciones_Finales_millones,Cartera_Inicial_millones,Cartera_Final_millones,Provisiones_Iniciales_millones,Provisiones_Finales_millones,Activos_Finales_millones_promedio,Eficiencia_Gasto_Operativo,Gasto_personal,ROA,Liquidez_de_Corto_Plazo,Tasa_de_Morosidad,Grado_Absorción,Solvencia_Patrimonial,Porcentaje_Crecimiento_Captaciones,Porcentaje_Crecimiento_Cartera,Porcentaje_Crecimiento_Provisiones
Cliente_2,2002,9355.207,8.645,13.235,14.550,33.868,9.718,13.204,1.184,8646.192,316.861,88.206,81.893,717.895,4.542,9.135,9.090,5226.441,-0.531,153.083,0.002,3.485,8.965,0.910,0.037,-7.156,-99.367,-0.493
Cliente_2,2016,5710.860,8.367,9.078,13.932,80.566,6.213,17.433,2.108,9762.084,752.113,88.048,30.638,204.394,771.348,5.910,2.891,4857.693,-0.085,108.498,0.002,12.968,12.090,0.652,0.077,-65.202,277.383,-51.091
Cliente_2,2007,4727.238,9.921,8.244,12.806,50.951,5.880,33.801,3.695,8107.906,73.471,37.583,66.675,634.604,637.476,8.511,3.246,5175.817,0.169,83.102,0.002,8.665,10.933,0.644,0.009,77.408,0.453,-61.865
Cliente_2,2008,7846.410,5.492,27.775,2.912,48.071,7.732,37.009,6.943,8814.281,458.827,16.617,93.954,264.720,262.693,6.243,1.925,5765.334,-4.057,505.722,0.001,6.217,18.759,9.540,0.052,465.412,-0.766,-69.161
Cliente_2,2021,8075.162,7.013,13.851,7.542,96.159,1.514,19.408,0.947,248.839,998.456,83.541,14.295,489.043,741.490,2.333,8.021,5050.433,-0.975,197.499,0.001,63.492,4.881,1.837,4.012,-82.889,51.620,243.831
Cliente_2,2015,1904.909,6.697,25.979,3.599,99.588,6.258,14.795,2.161,7365.908,996.100,70.650,12.427,905.431,552.129,2.147,8.957,4996.377,-2.880,387.950,0.001,15.915,14.608,7.218,0.135,-82.410,-39.020,317.195
Cliente_2,2006,970.211,9.308,16.959,6.315,60.019,5.526,45.611,2.525,3322.522,74.187,61.556,11.597,846.258,428.259,3.774,4.657,5018.055,-0.822,182.196,0.002,10.862,5.535,2.686,0.022,-81.161,-49.394,23.397
Cliente_2,2017,4311.081,6.243,2.467,1.350,74.657,8.674,19.849,1.691,9308.228,213.941,98.736,55.769,93.206,10.660,9.091,6.586,5183.146,0.605,39.515,0.001,8.606,8.520,1.827,0.023,-43.517,-88.563,-27.554
Cliente_2,2004,4236.363,5.951,29.979,5.995,23.932,2.417,33.781,4.649,8022.549,265.935,65.744,27.962,424.152,76.169,8.165,2.391,4929.029,-4.038,503.764,0.001,9.902,13.762,5.001,0.033,-57.467,-82.042,-70.717
Cliente_2,2023,4670.780,7.243,25.245,14.787,36.704,9.647,34.775,2.330,8640.776,933.326,1.774,60.878,277.404,883.223,8.746,9.369,5423.356,-2.485,348.537,0.001,3.805,6.700,1.707,0.108,3330.745,218.389,7.118
Cliente_3,2007,8166.049,6.396,8.699,10.777,39.718,4.784,33.199,3.583,7475.409,475.661,1.549,84.985,505.273,521.779,7.246,7.260,5175.817,-0.360,136.007,0.001,8.302,10.794,0.807,0.064,5386.685,3.267,0.195
Cliente_3,2008,4603.572,8.207,4.144,0.525,38.252,9.463,36.188,4.714,5461.777,849.888,75.345,46.190,830.739,627.122,7.358,8.711,5765.334,0.495,50.487,0.001,4.042,13.026,7.900,0.156,-38.696,-24.510,18.386
Cliente_3,2005,3052.603,6.998,13.602,13.921,86.321,7.096,28.600,2.107,6032.923,73.755,77.235,80.340,548.324,275.323,1.578,7.890,4920.368,-0.944,194.364,0.001,12.165,7.369,0.977,0.012,4.021,-49.788,400.003
Cliente_3,2022,7953.660,9.906,22.128,8.308,74.778,9.125,27.686,4.582,2206.166,415.027,11.552,67.090,897.311,78.406,4.668,4.423,5055.648,-1.234,223.383,0.002,8.195,16.550,2.664,0.188,480.760,-91.262,-5.247
Cliente_3,2003,2276.727,7.681,10.097,10.932,37.029,6.540,18.548,2.833,2194.997,630.136,43.089,98.801,743.912,286.442,5.884,1.053,4970.480,-0.314,131.448,0.002,5.662,15.272,0.924,0.287,129.293,-61.495,-82.101
Cliente_3,2012,237.621,9.696,18.580,11.258,37.836,3.709,28.927,3.987,4358.924,195.241,18.413,59.950,475.200,272.443,4.742,4.166,4846.471,-0.916,191.622,0.002,10.202,13.783,1.650,0.045,225.588,-42.668,-12.150
Cliente_3,2001,1932.105,5.577,15.831,10.224,46.755,5.931,46.047,2.426,291.219,696.658,95.839,95.054,259.932,320.390,2.862,7.781,5252.968,-1.839,283.882,0.001,7.883,5.268,1.548,2.392,-0.819,23.259,171.929
Cliente_3,2015,3283.291,9.852,12.171,5.781,46.216,1.004,41.841,2.001,3361.959,494.883,52.278,89.251,247.992,540.612,4.781,8.681,4996.377,-0.235,123.535,0.002,46.048,4.783,2.105,0.147,70.725,117.995,81.562
Cliente_3,2007,8643.665,5.893,17.721,1.515,36.609,3.582,16.788,0.246,6791.740,244.740,5.972,61.653,638.024,139.236,9.144,9.581,5175.817,-2.007,300.722,0.001,10.220,1.464,11.700,0.036,932.426,-78.177,4.783
Cliente_3,2006,9668.924,9.813,8.387,10.131,21.456,4.869,13.392,0.757,4043.762,656.402,25.671,72.208,766.048,232.030,6.257,4.771,5018.055,0.145,85.471,0.002,4.407,5.652,0.828,0.162,181.287,-69.711,-23.743
Cliente_4,2005,271.993,8.760,19.901,10.642,38.076,8.653,43.983,2.697,8221.334,881.750,34.694,69.370,531.391,536.328,2.747,8.816,4920.368,-1.272,227.178,0.002,4.401,6.132,1.870,0.107,99.952,0.929,220.931
Cliente_4,2014,6427.854,9.160,22.873,11.620,70.961,6.404,42.893,7.016,4007.674,244.620,88.152,64.944,426.078,762.427,3.047,5.418,4789.817,-1.497,249.713,0.002,11.081,16.356,1.968,0.061,-26.327,78.941,77.791
Cliente_4,2004,1357.859,6.261,28.539,2.933,96.236,2.089,14.222,1.596,741.748,465.244,70.417,49.591,746.190,185.965,2.615,8.854,4929.029,-3.558,455.792,0.001,46.057,11.225,9.730,0.627,-29.575,-75.078,238.607
Cliente_4,2019,4617.523,5.410,6.781,9.305,45.699,9.855,48.432,4.933,6294.828,610.721,28.351,79.500,331.461,217.168,1.127,6.167,4782.451,-0.254,125.361,0.001,4.637,10.186,0.729,0.097,180.419,-34.481,447.005
Cliente_4,2017,503.796,5.097,1.591,11.345,74.351,8.044,35.423,3.286,537.037,379.610,2.005,10.212,703.152,484.714,5.807,5.225,5183.146,0.688,31.215,0.001,9.243,9.276,0.140,0.707,409.351,-31.065,-10.033
Cliente_4,2000,3791.660,7.697,5.419,2.161,16.840,4.125,43.148,6.425,1492.827,29.671,94.858,22.938,271.646,724.860,3.469,4.964,4620.370,0.296,70.404,0.002,4.083,14.889,2.508,0.020,-75.819,166.841,43.110
Cliente_4,2012,2117.391,10.000,4.660,12.380,72.155,4.855,38.292,2.336,5628.833,851.102,9.476,69.487,252.152,976.630,9.769,2.659,4846.471,0.534,46.606,0.002,14.861,6.100,0.376,0.151,633.318,287.318,-72.777
Cliente_4,2018,3269.131,6.750,20.414,14.488,66.452,4.335,27.419,4.711,3039.051,182.658,72.287,31.314,121.535,525.112,5.980,1.462,5248.009,-2.024,302.443,0.001,15.329,17.183,1.409,0.060,-56.681,332.066,-75.546
Cliente_4,2018,7612.536,8.251,17.355,2.067,19.171,5.554,39.352,6.605,9939.187,212.908,49.369,58.574,193.392,283.716,7.277,9.470,5248.009,-1.103,210.347,0.002,3.452,16.784,8.395,0.021,18.645,46.705,30.135
Cliente_4,2021,3791.883,8.906,7.321,0.872,79.523,4.071,48.619,1.287,1185.397,798.035,76.058,47.853,120.435,101.426,2.137,5.300,5050.433,0.178,82.201,0.002,19.534,2.647,8.392,0.673,-37.084,-15.784,148.047
Cliente_5,2013,8601.806,5.785,14.167,13.672,72.976,9.657,36.060,6.237,3861.401,970.215,62.915,24.690,498.877,508.733,3.687,3.896,5072.685,-1.449,244.878,0.001,7.557,17.297,1.036,0.251,-60.756,1.976,5.668
Cliente_5,2019,9900.323,5.869,20.934,12.486,94.841,8.524,46.643,3.389,6637.225,404.771,76.239,16.679,716.887,879.447,6.282,2.698,4782.451,-2.567,356.686,0.001,11.127,7.266,1.677,0.061,-78.122,22.676,-57.057
Cliente_5,2019,3054.497,5.375,27.793,1.535,55.042,6.177,17.260,2.447,8207.655,515.082,21.152,55.533,509.363,864.163,9.990,7.277,4782.451,-4.171,517.056,0.001,8.911,14.180,18.101,0.063,162.540,69.656,-27.153
Cliente_5,2019,6210.652,5.013,23.847,2.906,54.442,9.557,33.413,2.164,9808.201,988.131,55.373,55.673,274.151,276.971,5.407,6.146,4782.451,-3.757,475.668,0.001,5.696,6.476,8.206,0.101,0.542,1.029,13.676
Cliente_5,2007,6096.699,7.253,19.127,4.960,17.240,9.996,35.391,6.710,4953.791,658.003,92.840,10.228,834.889,790.216,2.337,3.102,5175.817,-1.637,263.725,0.001,1.725,18.959,3.856,0.133,-88.983,-5.351,32.717
Cliente_5,2016,7401.153,7.969,20.174,11.360,13.587,7.051,29.669,4.883,371.159,543.051,44.373,99.233,980.264,415.527,5.847,7.980,4857.693,-1.532,253.158,0.002,1.927,16.458,1.776,1.463,123.632,-57.611,36.473
Cliente_5,2012,9475.954,6.456,28.076,8.754,48.883,3.426,13.650,1.563,5023.409,413.834,70.127,91.380,244.487,934.314,4.106,1.393,4846.471,-3.349,434.868,0.001,14.270,11.452,3.207,0.082,30.307,282.153,-66.079
Cliente_5,2014,2078.671,6.157,13.329,4.685,39.009,1.362,23.918,2.306,5902.214,188.395,13.021,46.683,551.714,508.230,5.967,7.702,4789.817,-1.165,216.472,0.001,28.639,9.642,2.845,0.032,258.518,-7.882,29.077
Cliente_5,2014,2111.041,8.535,16.792,2.303,32.533,7.806,23.332,1.628,8697.133,362.418,97.342,12.629,384.202,820.729,5.891,7.347,4789.817,-0.968,196.752,0.002,4.167,6.976,7.291,0.042,-87.026,113.619,24.719
Cliente_5,2009,6604.621,8.515,19.781,10.486,18.219,5.235,36.805,2.629,8742.030,756.687,61.278,83.382,921.946,283.556,5.098,8.303,5375.895,-1.323,232.314,0.002,3.481,7.142,1.886,0.087,36.071,-69.244,62.858
Cliente_6,2014,749.208,8.134,29.372,6.745,62.484,9.507,25.255,4.924,5873.816,251.376,37.121,27.980,754.397,124.465,9.489,1.335,4789.817,-2.611,361.099,0.002,6.572,19.498,4.355,0.043,-24.625,-83.501,-85.931
Cliente_6,2003,7815.471,9.437,23.051,4.041,30.897,9.889,24.358,4.458,7266.265,755.822,14.010,17.290,226.389,369.217,3.952,9.963,4970.480,-1.443,244.254,0.002,3.124,18.302,5.704,0.104,23.413,63.090,152.105
Cliente_6,2016,2650.963,7.440,21.413,6.475,67.411,3.692,21.835,3.310,8854.252,767.703,91.053,91.491,676.647,749.263,6.491,2.045,4857.693,-1.878,287.817,0.002,18.257,15.158,3.307,0.087,0.481,10.732,-68.492
Cliente_6,2014,6232.971,7.705,3.915,10.386,51.361,9.658,37.971,6.388,6549.564,681.174,33.345,94.475,674.732,262.899,6.829,3.113,4789.817,0.492,50.807,0.002,5.318,16.824,0.377,0.104,183.323,-61.036,-54.411
Cliente_6,2000,3975.436,8.087,5.825,3.111,70.016,7.213,10.878,1.975,8337.097,137.642,42.135,96.771,398.014,381.644,6.719,5.838,4620.370,0.280,72.021,0.002,9.707,18.156,1.872,0.017,129.670,-4.113,-13.109
Cliente_6,2023,804.073,6.174,9.685,3.039,90.902,5.112,43.202,6.800,6156.906,98.067,20.879,30.219,845.899,638.911,5.178,4.498,5423.356,-0.569,156.863,0.001,17.784,15.739,3.187,0.016,44.736,-24.470,-13.143
Cliente_6,2004,3286.327,8.422,1.839,9.338,51.873,3.719,25.832,1.388,9390.592,627.831,78.865,87.169,557.755,372.102,7.310,4.339,4929.029,0.782,21.841,0.002,13.948,5.372,0.197,0.067,10.530,-33.286,-40.639
Cliente_6,2013,6743.901,6.437,10.407,6.047,35.887,9.994,10.324,1.676,2798.122,40.383,87.770,80.619,91.213,675.162,6.843,9.544,5072.685,-0.617,161.675,0.001,3.591,16.237,1.721,0.014,-8.147,640.207,39.474
Cliente_6,2020,5336.690,6.137,2.627,10.405,59.194,8.680,44.603,2.302,6903.116,788.822,37.220,47.365,395.180,472.005,2.050,7.268,4893.708,0.572,42.810,0.001,6.820,5.161,0.253,0.114,27.257,19.441,254.540
Cliente_6,2004,9541.442,5.452,11.395,7.716,16.648,1.960,41.132,1.897,2173.480,34.331,50.678,8.455,265.194,619.927,1.408,5.862,4929.029,-1.090,209.018,0.001,8.494,4.613,1.477,0.016,-83.317,133.764,316.280
Cliente_7,2014,3981.998,6.218,27.115,11.955,56.191,1.547,21.001,3.613,4857.131,95.991,74.141,86.941,845.528,27.228,6.097,7.494,4789.817,-3.361,436.090,0.001,36.313,17.203,2.268,0.020,17.265,-96.780,22.921
Cliente_7,2007,1898.896,5.630,1.082,3.950,19.815,5.311,35.323,4.722,4421.000,427.337,81.365,72.385,368.193,929.155,4.607,7.992,5175.817,0.808,19.224,0.001,3.731,13.367,0.274,0.097,-11.037,152.355,73.463
Cliente_7,2011,1222.475,7.823,25.894,5.195,55.345,4.615,31.934,4.985,2732.395,665.443,56.081,96.871,762.843,829.631,2.277,6.108,4774.942,-2.310,331.000,0.002,11.994,15.610,4.985,0.244,72.736,8.755,168.278
Cliente_7,2003,8480.484,5.343,5.196,3.027,95.087,7.175,23.007,3.381,7549.676,374.927,59.060,60.441,574.526,268.180,6.699,1.765,4970.480,0.028,97.247,0.001,13.253,14.696,1.717,0.050,2.338,-53.321,-73.657
Cliente_7,2021,4547.719,8.826,4.770,1.260,13.903,5.412,49.785,2.532,1139.061,153.486,56.597,35.813,807.414,181.236,1.276,1.473,5050.433,0.460,54.044,0.002,2.569,5.085,3.786,0.135,-36.723,-77.554,15.484
Cliente_7,2011,6628.025,6.036,8.269,11.255,80.490,9.187,31.222,2.991,4299.706,923.062,33.635,58.214,845.310,702.996,7.715,2.417,4774.942,-0.370,136.999,0.001,8.761,9.580,0.735,0.215,73.076,-16.836,-68.675
Cliente_7,2017,6417.403,6.080,6.060,8.128,88.028,1.661,28.149,1.504,2833.181,68.066,13.101,22.061,974.572,309.676,2.936,6.561,5183.146,0.003,99.682,0.001,52.984,5.341,0.746,0.024,68.394,-68.224,123.437
Cliente_7,2020,5971.862,9.348,20.171,11.312,56.931,1.727,34.217,2.546,6785.184,831.940,36.006,66.017,818.608,340.485,4.778,7.066,4893.708,-1.158,215.764,0.002,32.963,7.440,1.783,0.123,83.349,-58.407,47.865
Cliente_7,2011,214.553,6.643,1.748,7.406,51.224,6.475,13.967,1.343,4866.841,94.137,66.869,23.200,613.960,7.100,4.068,3.449,4774.942,0.737,26.309,0.001,7.911,9.616,0.236,0.019,-65.305,-98.844,-15.219
Cliente_7,2001,7868.159,5.738,1.431,11.781,96.762,1.591,38.071,3.390,6671.658,97.468,75.278,11.714,643.056,869.993,4.330,6.957,5252.968,0.751,24.939,0.001,60.813,8.904,0.121,0.015,-84.440,35.290,60.662
Cliente_8,2001,7641.845,6.771,9.396,6.817,27.451,7.832,49.461,1.192,5265.790,580.749,45.602,61.371,558.405,310.922,7.325,4.076,5252.968,-0.388,138.771,0.001,3.505,2.410,1.378,0.110,34.580,-44.320,-44.364
Cliente_8,2007,2895.182,6.985,12.746,6.307,79.861,1.678,22.928,2.241,6619.630,954.277,81.286,37.026,387.178,656.399,9.524,7.895,5175.817,-0.825,182.467,0.001,47.588,9.773,2.021,0.144,-54.450,69.534,-17.100
Cliente_8,2012,1200.723,8.710,29.020,1.640,41.599,9.562,48.839,0.837,8764.051,739.182,83.900,91.876,252.744,662.473,9.974,2.728,4846.471,-2.332,333.170,0.002,4.351,1.715,17.691,0.084,9.506,162.112,-72.650
Cliente_8,2019,4974.356,7.181,5.984,13.123,96.240,6.652,22.646,1.813,6180.697,41.982,98.256,39.354,851.715,129.823,9.212,10.000,4782.451,0.167,83.334,0.002,14.469,8.006,0.456,0.007,-59.947,-84.757,8.551
Cliente_8,2001,4307.119,7.299,28.481,11.314,68.090,5.176,27.591,1.781,5972.867,909.141,9.349,77.672,964.446,709.125,1.841,2.395,5252.968,-2.902,390.214,0.001,13.156,6.454,2.517,0.152,730.843,-26.473,30.060
Cliente_8,2000,1292.728,5.389,14.343,3.713,23.292,6.074,28.757,3.810,1543.373,572.085,64.967,68.211,603.098,85.634,7.034,3.662,4620.370,-1.661,266.134,0.001,3.835,13.249,3.863,0.371,4.994,-85.801,-47.938
Cliente_8,2006,5326.291,6.565,20.999,11.797,19.252,6.215,35.255,6.899,1809.279,189.051,4.875,6.184,151.223,559.363,5.576,8.093,5018.055,-2.198,319.843,0.001,3.098,19.570,1.780,0.104,26.853,269.893,45.131
Cliente_8,2009,2301.877,7.146,11.494,1.608,33.037,7.130,41.853,1.137,6928.764,605.401,71.055,63.458,82.420,643.850,1.164,5.569,5375.895,-0.608,160.832,0.001,4.633,2.716,7.150,0.087,-10.691,681.177,378.423
Cliente_8,2006,5587.677,7.022,13.665,9.682,25.615,8.938,33.657,4.136,6247.780,501.866,99.108,34.130,663.948,329.148,3.780,5.858,5018.055,-0.946,194.594,0.001,2.866,12.288,1.411,0.080,-65.562,-50.426,54.980
Cliente_8,2004,6680.814,8.201,4.070,8.194,23.758,6.787,24.078,2.000,9026.657,957.765,52.883,33.639,916.830,128.666,9.561,7.648,4929.029,0.504,49.630,0.002,3.501,8.305,0.497,0.106,-36.389,-85.966,-20.007
Cliente_9,2023,2849.994,9.922,19.594,2.637,99.507,7.265,31.111,3.838,6897.958,86.528,98.123,5.389,776.414,254.060,7.690,1.710,5423.356,-0.975,197.478,0.002,13.697,12.338,7.432,0.013,-94.508,-67.278,-77.758
Cliente_9,2014,7485.617,7.308,26.349,6.843,43.742,2.249,14.447,0.190,3516.118,974.680,26.111,55.055,458.222,753.538,9.052,6.422,4789.817,-2.605,360.536,0.002,19.448,1.312,3.850,0.277,110.848,64.448,-29.051
Cliente_9,2001,4489.831,6.409,17.082,14.223,12.537,7.350,21.524,2.323,424.509,68.612,2.608,81.537,294.149,191.912,4.480,8.401,5252.968,-1.665,266.532,0.001,1.706,10.792,1.201,0.162,3026.456,-34.757,87.532
Cliente_9,2013,5340.577,6.909,3.975,3.720,93.774,5.037,22.046,1.234,8700.502,526.533,79.063,18.334,44.762,357.617,9.764,5.909,5072.685,0.425,57.532,0.001,18.616,5.597,1.069,0.061,-76.811,698.922,-39.476
Cliente_9,2011,3095.369,7.637,25.531,7.041,85.526,1.047,11.910,0.444,3526.241,507.820,35.135,78.135,200.270,781.061,5.466,3.891,4774.942,-2.343,334.292,0.002,81.666,3.728,3.626,0.144,122.383,290.003,-28.814
Cliente_9,2021,8086.430,9.831,25.684,5.569,68.496,1.713,26.793,2.453,9981.508,988.343,73.561,46.998,42.864,865.932,5.478,1.721,5050.433,-1.612,261.244,0.002,39.986,9.156,4.612,0.099,-36.111,1920.184,-68.589
Cliente_9,2023,4690.687,9.084,9.267,0.887,81.224,3.303,41.756,5.295,2746.279,554.598,63.197,69.844,933.438,332.593,9.319,6.948,5423.356,-0.020,102.008,0.002,24.589,12.681,10.451,0.202,10.516,-64.369,-25.438
Cliente_9,2007,8351.299,9.006,23.130,1.272,22.384,8.515,28.285,1.576,9800.293,391.063,77.379,63.542,515.868,125.351,5.673,3.758,5175.817,-1.568,256.825,0.002,2.629,5.571,18.181,0.040,-17.882,-75.701,-33.754
Cliente_9,2014,3679.042,5.692,8.911,7.779,35.819,5.939,14.434,1.287,9479.096,470.665,73.784,81.338,989.134,368.651,8.210,6.424,4789.817,-0.566,156.552,0.001,6.031,8.915,1.145,0.050,10.239,-62.730,-21.762
Cliente_9,2019,9471.355,6.250,27.254,3.919,84.679,7.545,46.206,6.295,751.337,636.035,33.919,7.247,543.488,889.597,7.544,4.835,4782.451,-3.361,436.061,0.001,11.223,13.623,6.955,0.847,-78.635,63.683,-35.906
Cliente_10,2020,6781.211,6.855,16.015,2.468,59.500,8.129,25.926,2.808,9959.698,518.584,95.679,90.298,572.565,454.091,4.108,9.508,4893.708,-1.336,233.625,0.001,7.320,10.830,6.489,0.052,-5.624,-20.692,131.443
Cliente_10,2012,4382.290,7.220,27.493,1.574,36.133,3.131,38.677,1.330,4668.684,304.820,28.171,34.424,618.490,688.925,4.588,8.777,4846.471,-2.808,380.802,0.001,11.542,3.438,17.470,0.065,22.199,11.388,91.295
Cliente_10,2011,1263.174,5.384,4.415,3.004,36.996,5.446,29.147,4.883,8790.878,162.805,62.877,92.469,31.256,158.922,7.846,4.763,4774.942,0.180,81.997,0.001,6.793,16.752,1.470,0.019,47.063,408.460,-39.291
Cliente_10,2016,2360.718,5.688,23.474,10.844,24.175,4.248,26.432,3.033,4974.205,934.803,61.828,5.078,889.108,416.206,5.635,9.664,4857.693,-3.127,412.658,0.001,5.691,11.475,2.165,0.188,-91.787,-53.188,71.508
Cliente_10,2023,6451.984,6.835,21.417,14.960,73.861,6.150,26.377,3.210,901.401,226.245,10.249,86.514,546.032,464.978,1.956,9.121,5423.356,-2.134,313.356,0.001,12.009,12.168,1.432,0.251,744.091,-14.844,366.381
Cliente_10,2021,3622.144,6.572,7.223,12.252,73.020,5.207,32.996,5.143,3933.029,947.536,64.458,9.041,642.265,340.852,3.176,8.321,5050.433,-0.099,109.900,0.001,14.024,15.588,0.589,0.241,-85.974,-46.930,162.035
Cliente_10,2005,9494.722,6.393,18.744,14.530,25.668,9.847,15.013,0.518,4572.849,519.379,59.589,94.906,302.792,144.525,2.103,9.404,4920.368,-1.932,293.182,0.001,2.607,3.452,1.290,0.114,59.268,-52.269,347.224
Cliente_10,2000,324.821,9.803,21.125,14.805,42.534,2.168,22.681,2.394,2408.046,284.764,58.484,77.331,245.633,861.624,5.046,7.490,4620.370,-1.155,215.509,0.002,19.620,10.554,1.427,0.118,32.226,250.777,48.427
Cliente_10,2004,1535.228,5.130,29.960,10.184,30.182,8.958,12.967,2.269,5833.858,79.781,17.949,27.201,807.542,319.997,2.268,2.709,4929.029,-4.841,584.070,0.001,3.369,17.496,2.942,0.014,51.547,-60.374,19.428
Cliente_10,2019,4499.776,5.930,6.805,10.788,98.662,1.592,28.633,4.809,487.533,197.106,62.823,21.870,406.686,988.035,1.455,2.434,4782.451,-0.148,114.754,0.001,61.984,16.796,0.631,0.404,-65.188,142.948,67.239
Cliente_11,2009,4309.847,7.521,28.230,9.291,57.911,7.192,35.161,1.363,5741.759,325.724,64.688,21.521,980.180,479.600,5.779,4.662,5375.895,-2.753,375.329,0.001,8.052,3.877,3.038,0.057,-66.732,-51.070,-19.331
Cliente_11,2015,8824.675,8.822,22.894,7.975,73.787,1.240,34.789,4.912,5351.988,662.565,69.638,70.794,818.559,202.866,6.742,9.415,4996.377,-1.595,259.510,0.002,59.514,14.120,2.871,0.124,1.660,-75.217,39.662
Cliente_11,2019,7275.353,6.399,6.773,5.256,36.981,5.271,43.647,3.840,7231.454,525.952,61.398,32.387,954.654,539.039,1.472,8.906,4782.451,-0.058,105.846,0.001,7.016,8.797,1.289,0.073,-47.250,-43.536,504.827
Cliente_11,2020,7638.804,9.945,15.765,9.389,83.417,9.704,15.911,2.502,9366.757,314.439,20.034,35.532,804.811,933.091,4.720,5.297,4893.708,-0.585,158.510,0.002,8.597,15.724,1.679,0.034,77.355,15.939,12.232
Cliente_11,2021,3660.008,8.402,15.502,2.856,43.152,8.046,37.229,6.884,9132.384,174.009,25.405,93.436,291.162,696.475,7.456,2.795,5050.433,-0.845,184.507,0.002,5.363,18.490,5.427,0.019,267.781,139.205,-62.513
Cliente_11,2015,4006.416,5.594,2.314,14.864,70.643,7.985,11.263,1.980,1751.473,912.212,56.251,79.745,288.343,138.136,1.905,9.675,4996.377,0.586,41.362,0.001,8.846,17.584,0.156,0.521,41.768,-52.093,407.911
Cliente_11,2009,5703.246,9.875,4.974,11.220,98.191,6.199,47.928,7.180,8822.567,342.985,23.262,28.072,714.427,616.061,7.937,3.891,5375.895,0.496,50.368,0.002,15.841,14.981,0.443,0.039,20.680,-13.768,-50.982
