Fecha,Polizas,Creditos,Interes_Prestamos_Empresariales,Interes_Prestamos_Personales,Interes_Por_Hipoteca,Mantenimiento_Cuenta,Tarifas_Sobregiro,Tarifas_Cajero,Tarifas_Transferencias,Asesoramiento_Inversiones,Gestion_Patrimonial,Servicios_Corretaje,Servicio_Deposito,Activos_Tangibles,Gastos_Oficina,Renta_Inmuebles,Pago_Servicios,Nomina,Gastos_Publicidad,Impuestos,Pago_Intereses_Creditos,Utilidad_Neta,Activos_Totales,IN_Gastos_Operativos,IN_ROA
23-11-2000,1.183,7.486,3.340,1.200,1.814,0.532,0.292,0.179,0.765,8.665,11.960,13.718,3.314,0.000,6.893,12.248,1.056,8.148,3.429,4.607,6.563,11.507,54.451,0.211,0.211
25-12-2000,1.912,7.135,1.530,1.130,3.537,0.145,0.526,0.172,1.335,8.477,14.554,12.573,3.920,37.900,2.389,8.558,3.146,19.114,3.960,2.277,8.488,46.912,132.745,0.495,0.353
19-01-2001,2.158,5.833,4.574,1.521,2.056,0.467,0.911,0.194,1.584,1.780,4.273,2.000,1.416,0.000,5.225,13.579,2.819,6.715,3.744,6.699,9.278,-19.292,28.767,-0.671,-0.671
04-02-2001,1.319,3.401,4.368,0.209,2.954,0.724,0.816,0.293,1.338,8.935,17.632,3.323,2.971,0.000,9.723,13.622,3.691,24.129,1.468,1.276,1.793,-7.417,48.285,-0.154,-0.154
20-03-2001,1.931,6.769,0.819,1.210,4.621,1.742,0.253,0.112,1.533,3.195,10.836,5.307,4.675,0.000,4.047,19.890,3.689,10.179,2.532,7.715,8.600,-13.651,43.002,-0.317,-0.317
15-04-2001,1.404,2.004,1.571,1.055,4.384,1.937,0.176,0.154,1.904,5.182,17.709,11.485,2.472,32.872,7.234,9.428,3.338,10.399,1.528,2.936,3.190,46.257,117.183,0.549,0.395
03-05-2001,2.112,4.913,3.510,1.720,1.369,0.630,0.564,0.362,0.479,6.493,12.333,8.969,3.642,0.000,6.849,19.669,4.290,26.742,2.025,4.778,6.300,-23.556,47.097,-0.500,-0.500
02-06-2001,3.543,5.084,1.464,0.399,2.694,1.319,0.670,0.368,0.139,4.411,10.449,5.041,1.046,0.000,8.666,14.873,4.761,13.214,2.541,4.068,5.716,-17.213,36.626,-0.470,-0.470
04-07-2001,2.459,9.584,1.095,1.925,2.107,0.859,0.402,0.079,0.390,1.258,9.928,2.741,4.879,0.000,8.671,9.117,1.433,8.689,2.372,4.330,4.562,-1.467,37.708,-0.039,-0.039
08-08-2001,2.481,8.883,4.710,0.252,1.014,1.964,0.837,0.233,0.340,8.659,5.319,10.641,3.240,19.342,8.734,13.489,1.935,27.513,0.928,7.494,3.792,4.028,87.257,0.059,0.046
09-09-2001,1.838,3.371,3.070,0.453,4.084,1.119,0.776,0.294,1.372,2.637,2.925,10.796,1.577,0.000,4.420,15.287,1.100,5.071,2.420,7.992,4.056,-6.034,34.311,-0.176,-0.176
18-10-2001,2.068,5.505,2.627,1.231,3.548,1.885,0.706,0.237,1.172,2.909,18.939,14.197,1.213,0.000,3.850,16.170,4.537,26.460,3.493,6.108,3.998,-8.380,56.236,-0.149,-0.149
21-11-2001,4.747,2.608,4.031,1.383,2.048,0.319,0.302,0.143,0.514,8.180,10.599,8.007,2.979,0.000,7.468,5.736,3.246,8.617,2.184,1.765,2.513,14.330,45.860,0.312,0.312
02-12-2001,3.592,9.214,4.134,0.547,3.965,1.944,0.279,0.239,1.429,4.063,16.798,7.913,2.985,41.022,7.835,14.096,4.661,8.250,1.187,1.473,5.594,55.027,139.145,0.561,0.395
19-01-2002,3.437,8.835,1.357,0.328,3.207,0.439,0.122,0.457,1.557,8.923,9.213,2.126,0.919,0.000,8.851,12.451,1.885,11.266,4.653,2.417,2.026,-2.631,40.919,-0.064,-0.064
08-02-2002,1.685,3.686,0.936,1.792,2.711,1.929,0.320,0.313,0.419,7.311,3.333,1.558,4.965,0.000,1.323,18.562,1.253,9.362,0.802,6.561,5.590,-12.496,30.957,-0.404,-0.404
24-03-2002,3.917,6.751,2.440,0.568,1.039,0.604,0.528,0.363,1.254,3.486,13.330,7.048,4.608,0.000,1.616,9.293,4.295,21.526,4.243,7.066,9.153,-11.257,45.935,-0.245,-0.245
22-04-2002,1.654,6.481,2.406,1.230,1.301,0.306,0.865,0.436,1.521,1.091,2.965,5.513,2.577,11.746,6.680,16.983,4.638,5.645,0.920,3.449,4.144,-2.369,51.835,-0.059,-0.046
24-05-2002,2.518,2.376,2.602,1.277,4.532,0.926,0.166,0.395,0.318,9.533,4.686,4.505,1.029,0.000,9.288,14.106,2.209,5.372,0.935,6.957,7.546,-11.554,34.859,-0.331,-0.331
19-06-2002,4.958,7.863,3.781,0.897,4.616,1.484,0.473,0.221,1.657,1.771,12.131,2.279,4.245,0.000,9.977,10.285,2.633,24.750,3.825,5.371,8.371,-18.837,46.374,-0.406,-0.406
15-07-2002,3.560,5.854,3.530,1.209,3.182,0.696,0.667,0.053,1.933,7.481,7.469,14.467,2.743,0.000,7.721,14.549,1.559,10.948,4.153,4.978,8.335,0.599,52.843,0.011,0.011
09-08-2002,3.228,8.008,4.929,1.093,4.338,1.252,0.275,0.208,0.305,5.397,19.891,12.703,3.725,39.788,4.906,14.313,4.785,13.094,3.004,3.459,3.126,58.453,144.929,0.556,0.403
16-09-2002,3.738,5.773,0.943,1.876,3.330,1.072,0.727,0.389,0.149,7.823,4.132,9.053,2.790,0.000,1.886,15.166,2.217,9.356,3.139,7.794,2.318,-0.083,41.795,-0.002,-0.002
20-10-2002,4.371,1.005,2.312,0.488,1.592,0.832,0.545,0.434,0.693,7.215,15.760,14.311,1.730,0.000,6.704,15.814,2.970,6.310,3.027,2.024,2.775,11.664,51.289,0.227,0.227
10-11-2002,4.104,3.917,2.027,1.461,1.510,1.196,0.320,0.479,1.387,6.813,12.914,14.994,4.256,0.000,8.853,14.888,1.389,23.543,1.983,4.869,6.422,-6.570,55.377,-0.119,-0.119
27-12-2002,1.916,1.175,4.378,0.554,2.233,0.584,0.690,0.239,1.921,5.417,16.233,10.412,4.911,38.209,4.993,17.575,4.549,18.152,1.050,3.549,7.842,31.161,127.081,0.351,0.245
29-01-2003,1.128,9.362,1.619,0.852,4.596,1.447,0.105,0.386,0.854,8.136,6.062,4.773,1.597,0.000,7.246,14.424,1.543,23.642,2.091,7.106,6.900,-22.034,40.918,-0.538,-0.538
02-02-2003,2.262,8.908,1.356,1.376,4.184,0.103,0.776,0.296,1.459,1.837,11.406,1.563,2.981,0.000,9.131,18.551,2.815,16.906,3.494,5.380,2.594,-20.363,38.508,-0.529,-0.529
26-03-2003,2.071,8.485,2.519,0.670,4.443,1.859,0.793,0.321,0.244,2.994,10.109,11.588,2.226,0.000,1.414,14.695,3.682,24.450,3.876,7.004,7.956,-14.755,48.323,-0.305,-0.305
27-04-2003,1.844,3.768,2.398,0.701,4.596,1.123,0.196,0.149,1.412,7.226,9.969,7.587,4.648,42.456,8.165,9.634,3.973,17.831,4.406,1.409,5.447,37.209,130.530,0.422,0.285
07-05-2003,4.772,1.521,1.753,1.529,1.840,1.467,0.483,0.149,1.292,3.756,17.483,10.121,2.787,0.000,3.640,11.612,4.784,7.726,3.745,4.557,7.790,5.097,48.952,0.104,0.104
24-06-2003,4.505,8.902,1.624,0.238,1.998,1.510,0.258,0.246,0.294,6.234,19.821,13.825,4.457,0.000,4.374,13.694,2.677,17.596,4.858,6.394,7.839,6.482,63.912,0.101,0.101
15-07-2003,2.259,9.523,4.655,0.971,1.411,1.374,0.962,0.063,1.568,5.259,7.497,3.541,4.388,0.000,2.310,15.985,3.969,28.635,3.202,1.069,5.040,-16.741,43.470,-0.385,-0.385
12-08-2003,3.622,1.771,2.494,1.997,4.120,0.792,0.566,0.201,1.716,5.778,13.178,9.195,1.743,25.443,5.780,6.352,1.618,6.084,2.082,3.713,9.317,37.670,98.060,0.519,0.384
10-09-2003,2.583,5.374,4.376,1.993,4.537,0.233,0.145,0.356,1.241,4.830,12.973,9.887,4.055,0.000,6.093,9.427,2.660,24.581,3.101,2.901,6.080,-2.261,52.581,-0.043,-0.043
06-10-2003,4.658,1.623,2.976,0.239,2.626,1.362,0.324,0.232,0.330,7.713,15.322,7.884,2.367,0.000,8.133,16.212,1.396,26.675,1.457,2.235,6.718,-15.169,47.657,-0.318,-0.318
08-11-2003,2.835,7.845,0.728,0.505,3.483,0.727,0.864,0.124,1.969,3.977,19.057,2.277,4.704,0.000,2.530,7.635,2.957,18.036,3.455,3.300,6.621,4.562,49.096,0.093,0.093
26-12-2003,2.060,7.893,4.997,0.604,1.618,0.696,0.511,0.260,1.587,7.326,5.740,5.871,2.785,36.548,1.711,6.982,2.632,16.451,1.509,3.953,8.778,36.478,115.043,0.465,0.317
12-01-2004,1.987,2.156,4.262,1.873,4.720,1.711,0.821,0.107,0.760,3.438,5.798,5.666,4.192,0.000,8.838,13.091,4.806,29.101,0.987,1.070,6.645,-27.045,37.492,-0.721,-0.721
05-02-2004,3.245,5.278,4.860,1.774,4.458,1.468,0.701,0.330,0.914,3.263,13.888,10.382,1.773,0.000,6.577,19.572,1.131,6.521,4.304,7.723,2.359,4.146,52.333,0.079,0.079
04-03-2004,2.051,5.948,4.669,1.771,4.905,0.671,0.989,0.062,0.804,2.086,4.827,13.008,1.844,0.000,3.167,12.963,2.482,16.975,2.154,2.581,1.615,1.697,43.634,0.039,0.039
14-04-2004,3.338,3.386,4.319,0.802,4.243,0.688,0.636,0.227,1.061,2.733,5.129,5.617,3.141,42.830,9.215,18.702,2.774,15.040,3.932,4.422,4.980,19.085,120.981,0.244,0.158
05-05-2004,4.591,8.852,1.248,0.400,4.526,0.876,0.955,0.304,0.748,2.076,3.351,10.711,4.995,0.000,2.288,17.457,4.802,22.152,3.083,7.333,3.725,-17.208,43.634,-0.394,-0.394
13-06-2004,2.598,4.808,2.685,1.684,1.099,0.865,0.902,0.062,1.714,5.823,2.048,5.035,2.703,0.000,5.150,8.855,4.422,17.257,4.132,5.502,3.472,-16.763,32.027,-0.523,-0.523
29-07-2004,1.877,2.906,1.462,1.437,3.946,0.662,0.651,0.339,1.662,7.860,10.109,14.233,1.169,0.000,3.286,17.370,1.397,27.743,4.303,8.500,1.506,-15.792,48.313,-0.327,-0.327
13-08-2004,4.990,5.854,2.305,1.262,2.329,0.342,0.747,0.111,0.301,2.666,12.689,12.390,2.924,49.233,3.298,12.228,3.743,6.837,4.885,8.256,5.566,53.328,147.374,0.543,0.362
21-09-2004,3.038,7.569,0.764,1.976,4.723,0.899,0.554,0.258,1.925,2.947,7.243,8.701,2.053,0.000,1.085,17.097,3.178,7.020,4.183,1.649,3.794,4.646,42.651,0.109,0.109
10-10-2004,1.364,2.810,2.205,1.343,4.209,1.887,0.848,0.073,1.308,5.358,6.167,7.368,2.984,0.000,8.242,16.198,4.911,20.207,3.261,8.756,5.067,-28.722,37.921,-0.757,-0.757
27-11-2004,1.188,3.805,4.934,0.115,4.456,1.387,0.593,0.221,1.675,7.521,14.725,5.403,2.945,0.000,9.111,10.081,2.435,6.642,3.392,1.381,1.512,14.416,48.969,0.294,0.294
03-12-2004,1.439,9.956,1.693,1.652,4.243,1.815,0.907,0.145,1.444,9.789,14.654,5.526,2.549,29.813,7.098,6.728,2.593,11.875,0.618,1.169,8.485,47.061,115.440,0.550,0.408
