Cliente,Activos_Iniciales_millones,Ingresos_Netos_millones,Gastos_Operativos_millones,Margen_Financiero_Neto_millones,Fondos_Disponibles_millones,Depositos_Corto_Plazo_millones,Prestamos_Totales_millones,Prestamos_Morosos_millones,Activos_Finales_millones,Patrimonio_millones,Captaciones_Iniciales_millones,Captaciones_Finales_millones,Cartera_Inicial_millones,Cartera_Final_millones,Provisiones_Iniciales_millones,Provisiones_Finales_millones,Año,Liquidez_de_Corto_Plazo,Tasa_de_Morosidad,Grado_Absorción,Solvencia_Patrimonial,Porcentaje_Crecimiento_Captaciones,Porcentaje_Crecimiento_Cartera,Porcentaje_Crecimiento_Provisiones
Cliente_2,5392.800,7.056,16.552,8.339,10.194,2.709,14.795,2.161,7365.908,996.100,70.650,12.427,905.431,552.129,2.147,8.957,2001,3.763,14.608,1.985,0.135,-82.410,-39.020,317.195
Cliente_2,7233.802,9.319,5.065,0.714,45.138,2.959,45.611,2.525,3322.522,74.187,61.556,11.597,846.258,428.259,3.774,4.657,2016,15.253,5.535,7.094,0.022,-81.161,-49.394,23.397
Cliente_2,8823.948,5.271,6.321,1.852,93.387,1.526,19.849,1.691,9308.228,213.941,98.736,55.769,93.206,10.660,9.091,6.586,2002,61.183,8.520,3.413,0.023,-43.517,-88.563,-27.554
Cliente_2,5762.540,8.267,14.416,11.427,80.662,7.622,33.781,4.649,8022.549,265.935,65.744,27.962,424.152,76.169,8.165,2.391,2005,10.583,13.762,1.262,0.033,-57.467,-82.042,-70.717
Cliente_2,2430.729,8.231,26.360,3.928,35.672,1.549,34.775,2.330,8640.776,933.326,1.774,60.878,277.404,883.223,8.746,9.369,2002,23.035,6.700,6.712,0.108,3330.745,218.389,7.118
Cliente_2,4730.256,5.303,3.186,6.393,72.693,3.822,26.769,1.876,8107.682,880.983,81.893,72.044,4.542,904.025,9.090,8.781,2019,19.017,7.007,0.498,0.109,-12.027,19803.041,-3.398
Cliente_2,4071.193,8.641,24.433,7.480,75.745,1.451,33.347,5.097,2668.790,879.391,30.638,21.156,771.348,546.045,2.891,9.786,2002,52.192,15.285,3.267,0.330,-30.949,-29.209,238.530
Cliente_2,944.164,9.003,25.823,13.037,80.503,5.291,30.911,0.735,7873.958,370.158,66.675,63.790,637.476,834.760,3.246,8.297,2021,15.215,2.378,1.981,0.047,-4.328,30.948,155.624
Cliente_2,6590.169,5.546,3.839,13.585,69.568,9.274,47.388,4.600,1081.848,158.589,93.954,27.134,262.693,582.927,1.925,8.933,2007,7.501,9.707,0.283,0.147,-71.119,121.904,364.004
Cliente_2,3543.621,5.958,19.912,2.887,53.800,5.780,18.170,3.629,8721.796,833.911,14.295,49.365,741.490,148.946,8.021,1.223,2012,9.308,19.971,6.897,0.096,245.332,-79.913,-84.752
Cliente_3,8586.074,9.322,6.178,8.861,16.298,3.661,37.025,7.067,4882.807,886.251,78.064,53.582,159.999,713.831,3.978,5.293,2009,4.452,19.088,0.697,0.182,-31.361,346.148,33.054
Cliente_3,2225.115,9.834,28.913,4.193,69.781,2.146,30.447,1.663,2730.080,576.095,22.665,56.334,861.633,235.259,5.193,9.485,2006,32.523,5.463,6.895,0.211,148.546,-72.696,82.632
Cliente_3,8166.049,6.396,8.699,10.777,39.718,4.784,41.749,2.880,4856.934,718.628,80.607,32.412,450.620,336.512,1.560,3.688,2013,8.302,6.898,0.807,0.148,-59.789,-25.322,136.320
Cliente_3,4603.572,8.207,4.144,0.525,38.252,9.463,48.393,7.900,3889.183,384.594,69.895,75.770,752.025,893.134,8.496,4.510,2018,4.042,16.325,7.900,0.099,8.405,18.764,-46.918
Cliente_3,3052.603,6.998,13.602,13.921,86.321,7.096,39.438,1.499,6689.067,400.253,46.990,44.815,840.023,81.497,4.505,9.025,2019,12.165,3.800,0.977,0.060,-4.630,-90.298,100.315
Cliente_3,7953.660,9.906,22.128,8.308,74.778,9.125,36.354,0.683,7981.625,148.424,56.183,81.686,278.034,151.680,7.928,8.522,2020,8.195,1.878,2.664,0.019,45.392,-45.446,7.485
Cliente_3,2276.727,7.681,10.097,10.932,37.029,6.540,21.351,4.205,7242.090,687.935,91.830,89.310,777.897,383.652,9.515,5.844,2010,5.662,19.695,0.924,0.095,-2.744,-50.681,-38.578
Cliente_3,237.621,9.696,18.580,11.258,37.836,3.709,36.554,4.611,8405.216,892.767,13.015,43.247,485.112,153.652,1.176,7.612,2014,10.202,12.614,1.650,0.106,232.301,-68.326,547.371
Cliente_3,1932.105,5.577,15.831,10.224,46.755,5.931,34.770,5.425,9195.497,860.580,14.201,90.779,240.007,214.739,8.926,8.199,2014,7.883,15.601,1.548,0.094,539.260,-10.528,-8.146
Cliente_3,3283.291,9.852,12.171,5.781,46.216,1.004,13.735,1.326,9807.239,885.580,47.000,45.145,440.433,415.453,6.181,9.080,2014,46.048,9.653,2.105,0.090,-3.945,-5.672,46.902
Cliente_4,5341.702,7.273,28.606,7.367,24.739,8.475,27.341,4.297,5770.635,570.280,88.131,45.369,550.838,192.349,3.720,1.110,2021,2.919,15.718,3.883,0.099,-48.520,-65.081,-70.154
Cliente_4,9069.382,6.688,7.502,2.159,37.994,3.186,24.488,2.408,6864.824,668.520,56.023,2.707,352.459,738.866,7.372,3.559,2011,11.926,9.833,3.476,0.097,-95.168,109.632,-51.723
Cliente_4,5919.336,9.398,2.990,14.242,62.082,7.275,45.663,7.621,1518.118,337.060,52.146,30.129,454.292,277.223,2.139,5.308,2002,8.534,16.689,0.210,0.222,-42.221,-38.977,148.145
Cliente_4,6630.335,6.391,28.761,7.243,93.600,3.714,28.390,3.480,8111.610,494.812,19.915,41.036,307.316,589.997,1.410,4.066,2016,25.200,12.257,3.971,0.061,106.059,91.984,188.467
Cliente_4,840.391,9.756,2.167,4.216,61.822,7.158,16.120,1.148,9491.307,325.689,24.894,25.087,231.308,760.448,1.491,9.689,2020,8.636,7.124,0.514,0.034,0.775,228.760,549.980
Cliente_4,4286.699,7.108,1.900,5.849,91.722,8.250,17.045,0.966,852.724,488.062,41.236,66.732,721.563,597.194,3.629,3.272,2010,11.118,5.664,0.325,0.572,61.828,-17.236,-9.835
Cliente_4,8668.647,9.175,8.171,9.285,43.778,8.166,30.870,5.791,2482.661,355.470,55.962,37.533,316.232,980.530,9.497,8.756,2000,5.361,18.758,0.880,0.143,-32.932,210.066,-7.806
Cliente_4,1818.109,7.352,25.338,14.474,94.732,6.093,36.018,2.269,5581.172,259.094,24.792,55.794,743.138,832.796,6.741,2.027,2013,15.547,6.300,1.751,0.046,125.047,12.065,-69.933
Cliente_4,2602.303,8.745,19.019,10.916,27.850,1.370,34.636,3.313,4162.324,280.379,48.133,35.032,950.927,296.950,7.775,1.588,2015,20.334,9.565,1.742,0.067,-27.219,-68.773,-79.575
Cliente_4,3274.199,5.260,7.918,11.778,63.289,5.795,46.785,7.139,5961.672,596.559,71.472,99.667,690.473,361.520,1.923,5.426,2003,10.922,15.259,0.672,0.100,39.448,-47.642,182.106
Cliente_5,6184.565,5.496,14.627,12.157,84.182,9.005,49.878,5.194,6520.538,825.102,27.439,2.354,705.706,70.740,6.939,3.149,2008,9.349,10.414,1.203,0.127,-91.422,-89.976,-54.618
Cliente_5,7757.160,8.814,1.947,3.368,92.907,7.611,27.435,3.728,1521.901,2.150,13.970,41.391,416.075,772.902,8.787,4.447,2018,12.207,13.589,0.578,0.001,196.279,85.760,-49.396
Cliente_5,3804.400,8.128,9.355,2.164,49.524,6.433,42.570,3.665,9648.280,869.498,29.515,23.245,483.017,854.558,5.019,8.704,2001,7.698,8.609,4.323,0.090,-21.242,76.921,73.426
Cliente_5,9085.135,6.323,9.199,3.760,52.183,1.233,48.762,7.534,1263.336,462.514,88.204,84.299,472.748,340.535,5.359,4.697,2005,42.329,15.449,2.447,0.366,-4.427,-27.967,-12.355
Cliente_5,2974.234,5.406,25.929,2.660,37.368,3.060,28.800,0.489,9653.571,55.150,48.986,12.233,457.330,787.930,3.992,3.864,2015,12.211,1.697,9.746,0.006,-75.029,72.289,-3.216
Cliente_5,5885.663,6.199,3.064,4.352,46.226,7.069,26.334,0.704,3320.615,518.921,3.858,94.759,145.497,267.905,7.866,5.257,2016,6.540,2.673,0.704,0.156,2356.122,84.131,-33.170
Cliente_5,4288.870,7.760,7.769,2.562,34.502,8.745,22.842,1.324,1004.546,623.011,63.372,65.123,191.420,3.563,4.395,9.221,2020,3.946,5.796,3.032,0.620,2.763,-98.139,109.809
Cliente_5,5686.726,5.783,8.672,1.365,58.598,6.284,14.184,0.454,8450.549,498.995,80.132,16.243,599.778,726.325,9.396,4.431,2014,9.325,3.203,6.354,0.059,-79.730,21.099,-52.839
Cliente_5,603.243,7.043,23.946,11.993,49.398,1.187,16.433,2.576,998.017,442.599,71.268,93.333,746.546,837.638,8.826,9.896,2008,41.626,15.678,1.997,0.443,30.959,12.202,12.115
Cliente_5,9601.128,8.447,18.104,9.128,63.823,7.883,26.466,4.614,9104.506,52.560,31.764,29.894,137.372,580.343,9.827,8.132,2005,8.096,17.433,1.983,0.006,-5.887,322.462,-17.253
Cliente_6,154.461,6.643,20.848,0.920,64.854,5.187,21.835,3.310,8854.252,767.703,91.053,91.491,676.647,749.263,6.491,2.045,2009,12.503,15.158,22.667,0.087,0.481,10.732,-68.492
Cliente_6,1442.410,8.372,9.334,5.203,44.429,3.589,37.971,6.388,6549.564,681.174,33.345,94.475,674.732,262.899,6.829,3.113,2006,12.380,16.824,1.794,0.104,183.323,-61.036,-54.411
Cliente_6,8709.459,7.668,7.597,1.314,71.482,5.919,10.878,1.975,8337.097,137.642,42.135,96.771,398.014,381.644,6.719,5.838,2012,12.076,18.156,5.783,0.017,129.670,-4.113,-13.109
Cliente_6,9699.598,9.771,3.621,5.698,54.790,1.665,43.202,6.800,6156.906,98.067,20.879,30.219,845.899,638.911,5.178,4.498,2015,32.912,15.739,0.636,0.016,44.736,-24.470,-13.143
Cliente_6,749.208,8.134,29.372,6.745,62.484,9.507,25.832,1.388,9390.592,627.831,78.865,87.169,557.755,372.102,7.310,4.339,2003,6.572,5.372,4.355,0.067,10.530,-33.286,-40.639
Cliente_6,7815.471,9.437,23.051,4.041,30.897,9.889,10.324,1.676,2798.122,40.383,87.770,80.619,91.213,675.162,6.843,9.544,2007,3.124,16.237,5.704,0.014,-8.147,640.207,39.474
Cliente_6,2650.963,7.440,21.413,6.475,67.411,3.692,44.603,2.302,6903.116,788.822,37.220,47.365,395.180,472.005,2.050,7.268,2012,18.257,5.161,3.307,0.114,27.257,19.441,254.540
Cliente_6,6232.971,7.705,3.915,10.386,51.361,9.658,41.132,1.897,2173.480,34.331,50.678,8.455,265.194,619.927,1.408,5.862,2018,5.318,4.613,0.377,0.016,-83.317,133.764,316.280
Cliente_6,3975.436,8.087,5.825,3.111,70.016,7.213,48.944,2.820,4447.514,365.496,27.980,75.661,124.465,943.226,1.335,6.286,2011,9.707,5.762,1.872,0.082,170.409,657.823,370.898
Cliente_6,804.073,6.174,9.685,3.039,90.902,5.112,46.425,7.129,2361.890,132.280,17.290,23.336,369.217,328.678,9.963,7.539,2018,17.784,15.356,3.187,0.056,34.968,-10.980,-24.329
Cliente_7,3627.498,5.458,17.072,8.333,21.408,7.545,34.973,4.700,6071.153,313.236,37.892,91.669,556.709,609.386,6.916,3.919,2022,2.837,13.440,2.049,0.052,141.920,9.462,-43.329
Cliente_7,9809.296,6.061,18.005,12.078,47.886,9.179,33.415,5.907,4142.423,313.211,13.881,6.093,115.770,658.173,1.626,9.473,2014,5.217,17.676,1.491,0.076,-56.106,468.516,482.479
Cliente_7,3673.982,8.197,24.579,2.094,20.228,6.930,38.486,4.416,2156.474,255.635,6.938,29.475,279.290,693.778,7.669,6.366,2002,2.919,11.475,11.738,0.119,324.832,148.408,-16.987
Cliente_7,9017.060,9.855,7.757,13.063,15.720,3.715,25.236,4.402,5123.951,953.639,95.706,31.932,226.933,29.924,9.746,8.950,2002,4.232,17.444,0.594,0.186,-66.635,-86.814,-8.169
Cliente_7,6448.623,5.253,23.457,2.411,50.345,6.790,33.896,3.109,3452.383,687.134,56.607,11.256,429.683,273.997,1.826,2.400,2010,7.414,9.171,9.728,0.199,-80.115,-36.233,31.460
Cliente_7,606.440,6.668,23.871,5.695,42.584,1.280,21.796,3.896,1109.787,474.794,67.331,51.234,561.405,762.647,5.774,7.790,2019,33.259,17.874,4.192,0.428,-23.908,35.846,34.906
Cliente_7,2759.539,9.944,18.283,11.932,63.430,9.987,30.222,2.678,6782.501,92.134,41.670,16.318,767.665,921.616,4.386,1.448,2004,6.351,8.862,1.532,0.014,-60.839,20.054,-66.987
Cliente_7,9682.101,8.935,9.041,9.038,50.680,8.626,27.208,4.549,5931.749,86.279,87.487,48.737,622.102,351.672,5.083,1.734,2002,5.876,16.721,1.000,0.015,-44.293,-43.470,-65.880
Cliente_7,9490.159,6.026,29.537,0.729,29.939,4.836,41.724,3.578,5269.814,432.445,94.172,84.880,675.302,182.224,2.417,4.988,2004,6.190,8.576,40.527,0.082,-9.867,-73.016,106.399
Cliente_7,8242.087,9.149,29.638,4.348,65.360,1.972,14.577,2.166,3084.885,744.844,42.871,35.661,557.183,144.108,3.805,4.816,2008,33.150,14.863,6.817,0.241,-16.817,-74.136,26.583
Cliente_8,2205.964,7.153,14.333,14.240,77.122,6.809,44.570,4.273,3368.307,792.026,90.014,37.912,284.863,698.781,7.649,5.376,2014,11.327,9.586,1.006,0.235,-57.882,145.305,-29.710
Cliente_8,9844.472,5.646,3.258,7.171,29.941,2.329,35.089,0.730,7663.310,895.981,35.000,29.006,724.010,392.566,7.169,3.039,2018,12.855,2.081,0.454,0.117,-17.125,-45.779,-57.609
Cliente_8,548.765,7.663,10.079,10.499,80.121,1.925,16.038,2.695,1311.359,450.284,71.717,41.468,656.908,595.446,5.738,2.238,2018,41.616,16.802,0.960,0.343,-42.178,-9.356,-60.992
Cliente_8,2045.027,6.151,13.449,5.747,16.874,3.304,12.731,0.313,3767.822,810.006,50.950,34.498,906.436,938.064,6.814,1.694,2014,5.108,2.458,2.340,0.215,-32.290,3.489,-75.133
Cliente_8,9453.296,7.794,12.728,6.832,66.990,2.561,27.688,4.824,1623.310,652.186,18.083,60.191,873.406,310.272,4.811,8.600,2021,26.153,17.421,1.863,0.402,232.852,-64.476,78.767
Cliente_8,7673.728,8.340,19.564,2.035,57.754,2.376,22.113,3.815,8313.619,322.205,25.527,79.133,334.029,377.303,4.256,1.910,2018,24.309,17.251,9.614,0.039,210.004,12.955,-55.121
Cliente_8,7641.845,6.771,9.396,6.817,27.451,7.832,20.987,2.662,7711.207,476.153,44.338,65.083,583.157,791.870,4.263,7.938,2020,3.505,12.685,1.378,0.062,46.789,35.790,86.187
Cliente_8,2895.182,6.985,12.746,6.307,79.861,1.678,12.247,1.302,8090.628,151.710,44.503,7.525,142.287,813.372,2.622,8.516,2020,47.588,10.634,2.021,0.019,-83.090,471.642,224.748
Cliente_8,1200.723,8.710,29.020,1.640,41.599,9.562,30.293,2.966,1656.226,62.812,52.752,10.356,350.471,670.446,2.928,8.953,2019,4.351,9.792,17.691,0.038,-80.368,91.299,205.804
Cliente_8,4974.356,7.181,5.984,13.123,96.240,6.652,22.416,2.585,4377.296,104.398,16.716,68.160,967.729,829.130,9.529,1.340,2010,14.469,11.532,0.456,0.024,307.753,-14.322,-85.941
Cliente_9,4109.175,7.345,24.690,4.633,12.400,8.122,19.506,2.326,7268.417,953.450,36.352,64.637,202.389,286.825,4.051,2.624,2008,1.527,11.926,5.329,0.131,77.807,41.719,-35.228
Cliente_9,6763.953,9.176,24.237,11.565,14.793,2.238,14.874,2.179,9116.161,544.538,7.688,83.208,791.318,862.276,2.681,3.644,2006,6.609,14.652,2.096,0.060,982.254,8.967,35.898
Cliente_9,2376.064,6.839,5.014,4.455,55.181,3.582,19.538,1.277,6148.900,786.626,24.871,68.784,885.905,48.756,7.229,1.923,2004,15.405,6.534,1.125,0.128,176.556,-94.496,-73.392
Cliente_9,4442.543,9.736,8.250,13.627,31.220,8.468,35.558,0.366,4349.970,508.115,66.053,98.101,316.280,656.076,4.306,3.951,2017,3.687,1.030,0.605,0.117,48.518,107.435,-8.240
Cliente_9,2849.994,9.922,19.594,2.637,99.507,7.265,34.912,2.689,6395.054,21.314,11.263,48.375,310.766,273.943,8.176,3.661,2023,13.697,7.704,7.432,0.003,329.511,-11.849,-55.223
Cliente_9,7485.617,7.308,26.349,6.843,43.742,2.249,12.512,1.482,7914.987,873.458,58.608,19.046,398.826,799.543,3.400,5.013,2019,19.448,11.843,3.850,0.110,-67.504,100.474,47.427
Cliente_9,4489.831,6.409,17.082,14.223,12.537,7.350,43.468,1.982,574.523,44.491,75.911,14.350,815.591,437.514,1.744,7.459,2016,1.706,4.559,1.201,0.077,-81.096,-46.356,327.815
Cliente_9,5340.577,6.909,3.975,3.720,93.774,5.037,29.993,4.108,6712.168,387.494,14.208,71.888,473.926,400.622,4.820,2.500,2013,18.616,13.696,1.069,0.058,405.988,-15.468,-48.142
Cliente_9,3095.369,7.637,25.531,7.041,85.526,1.047,31.442,3.442,4062.696,373.929,35.878,94.417,37.584,440.297,4.875,4.995,2003,81.666,10.946,3.626,0.092,163.164,1071.496,2.455
Cliente_9,8086.430,9.831,25.684,5.569,68.496,1.713,35.278,2.770,5131.347,747.569,34.516,4.661,647.254,956.522,9.956,5.024,2009,39.986,7.851,4.612,0.146,-86.495,47.782,-49.536
Cliente_10,7499.230,9.747,9.082,9.372,97.081,2.567,31.028,4.910,3086.096,323.338,30.980,56.798,498.540,440.166,4.335,3.234,2017,37.821,15.825,0.969,0.105,83.340,-11.709,-25.386
Cliente_10,1600.707,5.162,28.855,10.563,98.792,4.253,40.767,5.363,232.740,709.623,53.814,82.698,627.537,484.767,6.055,8.788,2004,23.226,13.156,2.732,3.049,53.674,-22.751,45.136
Cliente_10,312.375,5.767,1.751,14.980,70.106,3.018,42.934,1.914,9452.383,346.677,50.755,3.809,290.382,204.819,3.872,2.437,2019,23.228,4.457,0.117,0.037,-92.495,-29.466,-37.054
Cliente_10,8486.844,7.250,6.395,3.403,73.859,9.866,12.950,2.507,5054.939,940.963,17.695,5.501,956.694,607.054,5.198,3.947,2002,7.486,19.359,1.880,0.186,-68.914,-36.547,-24.072
Cliente_10,6781.211,6.855,16.015,2.468,59.500,8.129,48.895,4.508,9666.900,895.031,94.219,64.504,483.462,313.270,3.407,6.199,2002,7.320,9.220,6.489,0.093,-31.538,-35.203,81.941
Cliente_10,4382.290,7.220,27.493,1.574,36.133,3.131,35.694,6.533,2152.229,846.088,16.265,58.100,804.883,718.645,3.231,3.814,2009,11.542,18.304,17.470,0.393,257.206,-10.714,18.048
Cliente_10,1263.174,5.384,4.415,3.004,36.996,5.446,27.999,0.575,3529.598,251.355,66.215,65.462,685.306,734.466,1.871,7.868,2012,6.793,2.053,1.470,0.071,-1.137,7.173,320.460
Cliente_10,2360.718,5.688,23.474,10.844,24.175,4.248,37.204,1.250,506.354,635.422,72.343,76.929,298.136,860.917,3.612,5.484,2022,5.691,3.359,2.165,1.255,6.340,188.766,51.842
Cliente_10,6451.984,6.835,21.417,14.960,73.861,6.150,23.781,0.929,4949.447,551.291,60.909,42.242,73.900,975.399,4.457,5.633,2023,12.009,3.907,1.432,0.111,-30.647,1219.889,26.365
Cliente_10,3622.144,6.572,7.223,12.252,73.020,5.207,45.118,1.863,8823.512,126.045,84.410,64.260,60.853,131.635,6.538,5.489,2015,14.024,4.128,0.589,0.014,-23.872,116.317,-16.052
Cliente_11,6542.946,7.851,29.277,2.487,76.539,9.819,34.789,4.912,5351.988,662.565,69.638,70.794,818.559,202.866,6.742,9.415,2018,7.795,14.120,11.772,0.124,1.660,-75.217,39.662
Cliente_11,4706.398,5.973,12.423,5.329,36.931,6.253,43.647,3.840,7231.454,525.952,61.398,32.387,954.654,539.039,1.472,8.906,2007,5.906,8.797,2.331,0.073,-47.250,-43.536,504.827
Cliente_11,5367.371,7.766,24.052,7.369,40.274,8.171,15.911,2.502,9366.757,314.439,20.034,35.532,804.811,933.091,4.720,5.297,2023,4.929,15.724,3.264,0.034,77.355,15.939,12.232
Cliente_11,8471.876,5.368,10.833,7.126,84.546,7.528,37.229,6.884,9132.384,174.009,25.405,93.436,291.162,696.475,7.456,2.795,2001,11.231,18.490,1.520,0.019,267.781,139.205,-62.513
Cliente_11,4309.847,7.521,28.230,9.291,57.911,7.192,11.263,1.980,1751.473,912.212,56.251,79.745,288.343,138.136,1.905,9.675,2018,8.052,17.584,3.038,0.521,41.768,-52.093,407.911
Cliente_11,8824.675,8.822,22.894,7.975,73.787,1.240,47.928,7.180,8822.567,342.985,23.262,28.072,714.427,616.061,7.937,3.891,2015,59.514,14.981,2.871,0.039,20.680,-13.768,-50.982
Cliente_11,7275.353,6.399,6.773,5.256,36.981,5.271,14.396,0.314,1758.711,354.933,97.318,13.066,347.017,587.244,1.047,6.813,2005,7.016,2.183,1.289,0.202,-86.574,69.226,550.952
Cliente_11,7638.804,9.945,15.765,9.389,83.417,9.704,10.757,0.390,9196.428,772.218,30.464,67.986,442.934,243.216,5.953,9.171,2016,8.597,3.624,1.679,0.084,123.168,-45.090,54.060
Cliente_11,3660.008,8.402,15.502,2.856,43.152,8.046,22.548,1.114,9971.721,721.204,29.611,38.590,257.188,670.164,9.362,1.805,2020,5.363,4.939,5.427,0.072,30.320,160.574,-80.718
Cliente_11,4006.416,5.594,2.314,14.864,70.643,7.985,16.057,1.152,3970.549,643.666,21.521,98.036,479.600,531.510,4.662,6.167,2023,8.846,7.176,0.156,0.162,355.547,10.824,32.282
Cliente_12,4954.344,9.945,8.461,7.972,95.863,5.523,42.080,1.318,5398.058,489.339,3.155,98.628,449.089,393.666,3.067,9.001,2004,17.358,3.132,1.061,0.091,3025.800,-12.341,193.493
Cliente_12,9366.151,7.717,6.400,1.758,37.175,9.056,43.024,7.205,7544.103,898.990,26.191,47.735,917.198,128.220,5.146,3.166,2014,4.105,16.747,3.641,0.119,82.256,-86.020,-38.472
Cliente_12,9621.352,7.470,22.362,10.204,75.059,7.332,40.474,7.348,7760.860,446.037,1.299,29.422,378.119,978.746,2.396,1.606,2023,10.237,18.155,2.191,0.057,2165.788,158.846,-32.990
Cliente_12,9260.471,9.693,23.932,3.179,11.029,3.799,37.214,1.802,1402.216,56.580,22.572,18.818,81.170,834.987,2.696,6.345,2019,2.903,4.841,7.527,0.040,-16.631,928.692,135.339
Cliente_12,8767.555,9.255,17.466,2.539,68.832,2.057,33.833,3.788,9934.841,132.812,8.230,14.407,964.180,756.423,8.877,5.018,2011,33.466,11.197,6.879,0.013,75.062,-21.548,-43.471
Cliente_12,93.662,7.340,22.961,5.192,72.349,9.245,41.495,1.712,2342.381,416.009,42.946,64.511,874.679,978.512,7.889,7.048,2013,7.826,4.126,4.422,0.178,50.214,11.871,-10.662
Cliente_12,5680.051,5.964,6.089,4.097,15.591,3.655,31.020,5.346,9164.054,564.347,70.338,73.200,133.857,463.541,1.290,8.850,2022,4.265,17.235,1.486,0.062,4.068,246.296,586.063
Cliente_12,1073.900,5.563,25.828,4.281,20.640,6.532,31.127,2.924,5761.527,559.238,54.575,96.414,860.426,719.375,6.942,3.203,2017,3.160,9.395,6.033,0.097,76.664,-16.393,-53.865
Cliente_12,9829.956,5.812,27.014,3.915,37.613,2.972,24.471,3.408,5775.171,673.095,6.965,38.072,119.515,424.704,6.534,1.398,2015,12.655,13.926,6.900,0.117,446.589,255.358,-78.603
Cliente_12,2846.332,7.295,24.983,11.429,46.487,2.202,46.690,6.827,7725.610,308.861,89.528,89.242,992.854,379.897,9.426,4.951,2017,21.110,14.621,2.186,0.040,-0.319,-61.737,-47.479
Cliente_13,8184.007,5.876,9.697,6.539,14.638,9.163,35.949,2.497,7028.749,230.789,46.622,84.068,456.554,722.471,3.169,3.700,2022,1.597,6.946,1.483,0.033,80.318,58.244,16.759
Cliente_13,2369.803,8.394,6.332,8.185,43.945,3.729,22.337,0.417,827.779,570.220,73.544,8.359,61.390,536.202,6.578,8.453,2006,11.786,1.869,0.774,0.689,-88.634,773.441,28.497
Cliente_13,8762.707,7.779,16.600,6.132,64.447,9.181,24.386,4.247,8453.453,246.484,35.865,81.982,638.091,287.402,3.272,1.726,2012,7.020,17.418,2.707,0.029,128.581,-54.959,-47.259
Cliente_13,9856.970,5.234,7.988,4.197,13.559,2.906,45.312,6.835,6449.428,551.092,14.856,5.803,933.970,502.714,4.190,9.925,2007,4.666,15.084,1.903,0.085,-60.939,-46.175,136.877
Cliente_13,5212.989,6.722,7.535,5.289,16.551,2.710,28.640,0.375,3313.375,943.521,55.108,1.632,912.839,698.161,8.154,6.849,2017,6.107,1.308,1.425,0.285,-97.039,-23.518,-16.008
Cliente_13,4136.189,8.217,25.869,1.647,82.419,7.673,42.113,4.848,9773.315,338.227,19.221,14.612,659.625,431.143,1.711,1.285,2010,10.741,11.513,15.711,0.035,-23.980,-34.638,-24.896
